Procuring Entity (PE),Region,Province,City/Municipality,Government Branch,PE Organization Type,PE Organization Type (Grouped),Bid Reference No.,Notice Title,Classification,Procurement Mode,Business Category,Funding Source,Funding Instrument,Trade Agreement,Approved Budget of the Contract,Published Date,Closing Date,Area of Delivery,Contract Duration,Calendar Type,Line Item No,Item Name,Item Description,Quantity,UOM,Item Budget,Bid Notice Status,Award Reference No.,Award Title,UNSPSC Code,UNSPSC Description,Published Date(Award),Award Date,Contract Amount,Award Notice Status,Notice to Proceed Date,Contract Effectivity Date,Contract End Date,Awardee Organization Name,Country of Awardee,Region of Awardee,Province of Awardee,City/Municipality of Awardee,Awardee Size,Awardee Joint Venture
CITY OF PARAÑAQUE,NCR,Metro Manila,Parañaque City,Executive,City Government,Local Government Units (LGU),0,Lease of Venue for the Office of the City Treasurer's Strategic Tax Collection Efficiency Seminar,Goods,Negotiated Procurement - Lease of Real Property (Sec. 53.10),Lease and Rental of Property or Building,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,2250000.00,NULL,NULL,Metro Manila,7,NULL,1,Lease of Venue,Lease of Venue for the Office of the City Treasurer's Strategic Tax Collection Efficiency Seminar,1,Lot,2250000.00,Awarded,5152009,Lease of Venue for the Office of the City Treasurer's Strategic Tax Collection Efficiency Seminar,80131500,Lease and rental of property or building,31/10/2024,14/08/2024,2250000.00,Posted,NULL,NULL,NULL,CANYON COVE HOTEL AND SPA INC,Philippines,Region IV-A,Batangas,Nasugbu,Micro,NULL
"MUNICIPALITY OF GAMAY, NORTHERN SAMAR",Region VIII,Northern Samar,Gamay,Executive,Municipal Government,Local Government Units (LGU),0,Procurement of Goods,Goods,Negotiated Procurement - Emergency Cases (Sec. 53.2),Grocery Items,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,1020338.00,17/12/2024,NULL,Northern Samar,45,NULL,1,Grocery Items,Procurement of Goods,1,Lot,1020338.00,Awarded,5249086,Procurement of Goods,50000000,Food Beverage and Tobacco Products,17/12/2024,20/11/2024,1020338.00,Updated,20/11/2024,20/11/2024,04/01/2025,DOUBLE C STORE,Philippines,Region VIII,Northern Samar,Gamay,Micro,NULL
"MUNICIPALITY OF PITOGO, QUEZON",Region IV-A,Quezon,Pitogo,Executive,Municipal Government,Local Government Units (LGU),0,REPAIR AND MAINTENANCE OF WATER WORKS SYSTEM (PITOGO MUNICIPAL WATER WORKS SYSTEM) - SUPPLY AND DELIVERY OF SUBMERSIBLE PUMP AND MOTOR,Goods,Negotiated Procurement - Emergency Cases (Sec. 53.2),General Merchandise,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,443000.00,NULL,NULL,Quezon,41,NULL,1,REPAIR AND MAINTENANCE OF WATER WORKS SYSTEM (PITO,SUPPLY AND DELIVERY OF SUBMERSIBLE PUMP AND MOTOR,3,Lump Sum,443000.00,Awarded,5193601,REPAIR AND MAINTENANCE OF WATER WORKS SYSTEM (PITOGO MUNICIPAL WATER WORKS SYSTEM) - SUPPLY AND DELIVERY OF SUBMERSIBLE PUMP AND MOTOR,26000000,Power Generation and Distribution Machinery and Accessories,24/11/2024,30/10/2024,442199.50,Updated,08/10/2024,09/10/2024,18/11/2024,M.O. FLORES CONSTRUCTION SUPPLIES AND SERVICES,Philippines,Region IV-A,Quezon,Quezon,Micro,NULL
"RESEARCH INSTITUTE FOR TROPICAL MEDICINE, DOH",NCR,Metro Manila,Muntinlupa City,Executive,Hospital,National Government Agencies (NGA),0,Supply and Delivery of Various Laboratory Supplies (PR 24-03-0121),Goods,Negotiated Procurement - Emergency Cases (Sec. 53.2),Laboratory Supplies and Equipment,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,50311.68,NULL,NULL,Metro Manila,30,NULL,1,Kit,"for A15 Chemistry Analyzer, ALT (GPT), 120 mL/kit  General Requirements • Product Brochure/Product Information (If applicable)",24,Unit,50311.68,Awarded,5209380,Supply and Delivery of Various Laboratory Supplies (PR 24-03-0121),41000000,Laboratory and Measuring and Observing and Testing Equipment,02/12/2024,16/08/2024,50311.68,Updated,27/09/2024,27/09/2024,27/10/2024,BIOTECH SYSTEMS TRADING CORPORATION,Philippines,NCR,Metro Manila,Quezon City,Micro,NULL
DEPARTMENT OF HEALTH - CAR OFFICE,CAR,Benguet,Baguio City,Executive,Department,National Government Agencies (NGA),0,PROCUREMENT OF CAMPOLAS KIT (3 KITS),Goods,Negotiated Procurement - Emergency Cases (Sec. 53.2),Drugs and Medicines,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,300000.00,02/12/2024,NULL,Benguet,1,NULL,1,CAMPOLAS KIT,CAMPOLAS KIT WITH BOX,3,Set,300000.00,Awarded,5211365,PROCUREMENT OF CAMPOLAS KIT (3 KITS),73101701,Drugs or medicine production services,02/12/2024,19/11/2024,177000.00,Updated,20/11/2024,21/11/2024,22/11/2024,BLESSED ST. JOHN PHARMACEUTICALS & GEN. MDSE.,Philippines,CAR,Benguet,Baguio City,Micro,NULL
BAGUIO GENERAL HOSPITAL AND MEDICAL CENTER,CAR,Benguet,Baguio City,Executive,Hospital,National Government Agencies (NGA),0,Various Items for Endovascular Intervention Procedure,Goods,Negotiated Procurement - Emergency Cases (Sec. 53.2),Medical Supplies and Laboratory Instrument,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,479000.00,19/11/2024,NULL,(Independent City),1,NULL,1,Various Items for Endovascular Intervention Proced,"Item No.16% EVOH (Ethylene Vinyl Alcohol) Liquid Embolic System ***Notes*** - must be pre-mixed radiopaque injectable liquid - must be made of 6% Ethylene Vinyl alcohol (EVOH), Dimethyl Sulfoxide (DMSO) and Micronized tantalum powder............",8,Piece,479000.00,Awarded,5183869,Various Items for Endovascular Intervention Procedure,42000000,Medical Equipment and Accessories and Supplies,19/11/2024,02/10/2024,479000.00,Updated,07/11/2024,07/11/2024,08/11/2024,"GLOBO ASIATICO ENTERPRISES,INC",Philippines,NCR,Metro Manila,Quezon City,Micro,NULL
"CITY OF SAN PABLO, LAGUNA",Region IV-A,Laguna,San Pablo City,Executive,City Government,Local Government Units (LGU),0,Purchase of Relief Goods for the affected of Typhoon Kristine.,Goods,Negotiated Procurement - Emergency Cases (Sec. 53.2),Grocery Items,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,9998988.00,NULL,NULL,NULL,NULL,NULL,1,Goods/Grocery Items,see P.O./CONTRACT 002572 ,1,Lot,9998988.00,Awarded,5181040,Purchase of Relief Goods for the affected of Typhoon Kristine.,50000000,Food Beverage and Tobacco Products,18/11/2024,07/11/2024,9998988.00,Updated,07/11/2024,07/11/2024,17/11/2024,TRIPLE L CONSUMER GOODS TRADING,Philippines,Region IV-A,Laguna,San Pablo City,Micro,NULL
"MUNICIPALITY OF ORION, BATAAN",Region III,Bataan,Orion,Executive,Municipal Government,Local Government Units (LGU),0,Purchase and Delivery of T-Shirts and Sporting Materials 2024 used for Sports Fest 2024,Goods,Negotiated Procurement - Emergency Cases (Sec. 53.2),Sporting Goods,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,91815.00,NULL,NULL,Bataan,14,NULL,1,T-Shirts and Sporting Materials,Purchase and Delivery of T-Shirts and Sporting Materials 2024 used for Sports Fest 2024,1,Lot,91815.00,Awarded,5135363,Purchase and Delivery of T-Shirts and Sporting Materials 2024 used for Sports Fest 2024,49000000,Sports and Recreational Equipment and Supplies and Accessories,21/10/2024,24/09/2024,91815.00,Posted,NULL,NULL,NULL,MIMA ENTERPRISE,Philippines,NCR,Metro Manila,Marikina City,Medium,NULL
BAGUIO GENERAL HOSPITAL AND MEDICAL CENTER,CAR,Benguet,Baguio City,Executive,Hospital,National Government Agencies (NGA),0,TOTAL REPLACEMENT LEFT,Goods,Negotiated Procurement - Emergency Cases (Sec. 53.2),Medical Supplies and Laboratory Instrument,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,400000.00,23/12/2024,NULL,(Independent City),1,NULL,1,TOTAL REPLACEMENT LEFT ,OFFERMICROPORT ,2,Set,400000.00,Awarded,5262439,TOTAL REPLACEMENT LEFT,42000000,Medical Equipment and Accessories and Supplies,23/12/2024,28/11/2024,380000.00,Updated,16/12/2024,16/12/2024,17/12/2024,"PACIFICSURGICAL, INC.",Philippines,NCR,Metro Manila,Makati City,Micro,NULL
"MUNICIPALITY OF ORION, BATAAN",Region III,Bataan,Orion,Executive,Municipal Government,Local Government Units (LGU),0,Purchase and Delivery of Fish and Vegetable for Supplementary Feeding Program  -14th Cycle for the enrolled Daycare Children ,Goods,Negotiated Procurement - Emergency Cases (Sec. 53.2),Grocery Items,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,502958.70,NULL,NULL,Bataan,90,NULL,1,Fish and Vegetable,Purchase and Delivery of Fish and Vegetable for Supplementary Feeding Program -14th Cycle for the enrolled Daycare Children  ,1,Lot,502958.70,Awarded,5119747,Purchase and Delivery of Fish and Vegetable for Supplementary Feeding Program  -14th Cycle for the enrolled Daycare Children ,50000000,Food Beverage and Tobacco Products,11/10/2024,08/10/2024,502958.70,Updated,10/10/2024,11/10/2024,09/01/2025,PERLY'S FRUITS AND VEGETABLES STORE,Philippines,Region III,Bataan,Orion,Micro,NULL
NATIONAL KIDNEY AND TRANSPLANT INSTITUTE,NCR,Metro Manila,Quezon City,Executive,Government Owned and/or Controlled Corp.(GOCC),Government Owned and Controlled Corporations (GOCC),0,PROCUREMENT OF VARIOUS MEDICINES,Goods,Negotiated Procurement - Emergency Cases (Sec. 53.2),Drugs and Medicines,Government of the Philippines (GOP),Corporate Budget for the Contract Approved by the Board,Implementing Rules and Regulations,230480.00,NULL,NULL,Metro Manila,10,NULL,1,PROCUREMENT OF VARIOUS MEDICINES,PROCUREMENT OF VARIOUS MEDICINES,1,Lot,230480.00,Awarded,5202729,PROCUREMENT OF VARIOUS MEDICINES,51000000,Drugs and Pharmaceutical Products,28/11/2024,29/08/2024,134712.00,Updated,30/08/2024,30/08/2024,30/08/2025,"ENDURE MEDICAL, INC.",Philippines,NCR,Metro Manila,Pasig City,Large,NULL
"MUNICIPALITY OF SAN VICENTE, PALAWAN",Region IV-B,Palawan,San Vicente,Executive,Municipal Government,Local Government Units (LGU),0,PROCUREMENT OF FUEL INTENDED FOR THE CONDUCT OF FAMILY DEVELOPMENT SESSION AND YOUTH DEVELOPMENT SESSSION AND YOUTH DEVELOPMENT SSESSION,Goods,Direct Retail Purchase of POL and Airline Tickets (Sec. 53.14),Fuels/Fuel Additives & Lubricants & Anti Corrosive,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,8900.00,02/10/2024,NULL,Palawan,NULL,NULL,1,Fuel,PROCUREMENT OF FUEL INTENDED FOR THE CONDUCT OF FAMILY DEVELOPMENT SESSION AND YOUTH DEVELOPMENT SESSSION AND YOUTH DEVELOPMENT SSESSION,1,Lot,8900.00,Awarded,5102160,PROCUREMENT OF FUEL INTENDED FOR THE CONDUCT OF FAMILY DEVELOPMENT SESSION AND YOUTH DEVELOPMENT SESSSION AND YOUTH DEVELOPMENT SSESSION,15000000,Fuels and Fuel Additives and Lubricants and Anti corrosive Materials,02/10/2024,04/09/2024,7144.00,Updated,05/09/2024,09/09/2024,31/12/2024,RCSV PETRON STATION,Philippines,Region IV-B,Palawan,San Vicente,Micro,NULL
"CITY OF GENERAL SANTOS , SOUTH COTABATO",Region XII,South Cotabato,General Santos City,Executive,Department,National Government Agencies (NGA),0,DRP24-02-028 FUEL,Goods,Direct Retail Purchase of POL and Airline Tickets (Sec. 53.14),Fuels/Fuel Additives & Lubricants & Anti Corrosive,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,247370.00,NULL,NULL,South Cotabato,1,NULL,1,FUEL(PETROLEUM),DIESOLINE-236480.00/GASOLINE-10890.00,1,Lot,247370.00,Awarded,5156020,DRP24-02-028 FUEL,15000000,Fuels and Fuel Additives and Lubricants and Anti corrosive Materials,05/11/2024,07/03/2024,247370.00,Posted,NULL,NULL,NULL,"MI-MANA PETRON GAS STATION, INC.",Philippines,Region XII,South Cotabato,General Santos City,Micro,NULL
"MUNICIPALITY OF UBAY, BOHOL",Region VII,Bohol,Ubay,Executive,Municipal Government,Local Government Units (LGU),0,"GASOLINE, OIL AND LUBRICANTS FOR FEBRUARY 2024",Goods,Direct Retail Purchase of POL and Airline Tickets (Sec. 53.14),Fuels/Fuel Additives & Lubricants & Anti Corrosive,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,660370.00,NULL,NULL,Bohol,1,NULL,1,FUEL,"Gasoline, Oil and Lubricants",1,Lot,660370.00,Awarded,4666751,"GASOLINE, OIL AND LUBRICANTS FOR FEBRUARY 2024",15000000,Fuels and Fuel Additives and Lubricants and Anti corrosive Materials,08/11/2024,26/01/2024,660370.00,Posted,NULL,NULL,NULL,CRU SHELL STATION,Philippines,Region VII,Bohol,Ubay,Micro,NULL
"MUNICIPALITY OF NABUNTURAN, COMPOSTELA VALLEY",Region XI,Davao de Oro (Compos. Valley),Nabunturan,Executive,Municipal Government,Local Government Units (LGU),0,Fuel (Diesel),Goods,Direct Retail Purchase of POL and Airline Tickets (Sec. 53.14),Fuels/Fuel Additives & Lubricants & Anti Corrosive,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,199951.22,NULL,NULL,Davao de Oro (Compos. Valley),30,NULL,1,Fuel (Diesel),"Fuel, Oils and Lubricants",2786,Liter,199951.22,Awarded,5170482,Fuel (Diesel),15101505,Diesel fuel,12/11/2024,11/11/2024,199951.22,Updated,12/11/2024,12/11/2024,12/12/2024,ZTC GASOLINE STATION,Philippines,Region XI,Davao de Oro (Compos. Valley),Nabunturan,Medium,NULL
PROVINCE OF AURORA,Region III,Aurora,Baler,Executive,Provincial Government,Local Government Units (LGU),0,SUPPLY AND DELIVERY OF CATERING SERVICES AND LEASE OF ACCOMMODATION,Goods,Direct Retail Purchase of POL and Airline Tickets (Sec. 53.14),Lease and Rental of Property or Building,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,85920.00,01/10/2024,NULL,NULL,NULL,NULL,1,SUPPLY AND DELIVERY OF CATERING SERVICES AND LEASE,MEALS AND ACCOMMODATION,1,Lot,85920.00,Awarded,5098671,SUPPLY AND DELIVERY OF CATERING SERVICES AND LEASE OF ACCOMMODATION,80131500,Lease and rental of property or building,01/10/2024,12/08/2024,71400.00,Posted,NULL,NULL,NULL,CARLITOS INN,Philippines,Region III,Aurora,Baler,Micro,NULL
PROVINCE OF AURORA,Region III,Aurora,Baler,Executive,Provincial Government,Local Government Units (LGU),0,SUPPLY OF FUEL,Goods,Direct Retail Purchase of POL and Airline Tickets (Sec. 53.14),Fuels/Fuel Additives & Lubricants & Anti Corrosive,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,345800.00,NULL,NULL,NULL,NULL,NULL,1,SUPPLY OF FUEL,DIESEL,1,Lot,345800.00,Awarded,5271406,SUPPLY OF FUEL,15000000,Fuels and Fuel Additives and Lubricants and Anti corrosive Materials,27/12/2024,16/10/2024,218000.00,Posted,NULL,NULL,NULL,EXSON ENTERPRISES COMPANY,Philippines,Region III,Aurora,Baler,Micro,NULL
"CITY OF ALAMINOS, PANGASINAN",Region I,Pangasinan,Alaminos City,Executive,City Government,Local Government Units (LGU),0,"Procurement of fuel for the daily operation of various city government official vehicles, heavy equipment and other machineries",Goods,Direct Retail Purchase of POL and Airline Tickets (Sec. 53.14),Fuels/Fuel Additives & Lubricants & Anti Corrosive,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,384468.64,NULL,NULL,Pangasinan,5,NULL,1,fuel,"Procurement of fuel for the daily operation of various city government official vehicles, heavy equipment and other machineries",1,Lot,384468.64,Awarded,5119530,"Procurement of fuel for the daily operation of various city government official vehicles, heavy equipment and other machineries",15000000,Fuels and Fuel Additives and Lubricants and Anti corrosive Materials,11/10/2024,30/09/2024,384468.64,Updated,01/10/2024,01/10/2024,07/10/2024,RAEL KITZ CORPORATION,Philippines,Region I,Pangasinan,Calasiao,Micro,NULL
"MUNICIPALITY OF PINABACDAO, SAMAR",Region VIII,Samar,Pinabacdao,Executive,Municipal Government,Local Government Units (LGU),0,"DIRECT POL September 16 to 30, 2024",Goods,Direct Retail Purchase of POL and Airline Tickets (Sec. 53.14),Fuels/Fuel Additives & Lubricants & Anti Corrosive,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,120394.45,19/11/2024,NULL,Samar,15,NULL,1,"DIRECT POL September 16 to 30, 2024","DIRECT POL September 16 to 30, 2024 Diesel 1,765 Liters Gasoline 156 Liters",1921,Liter,120394.45,Awarded,5182803,"DIRECT POL September 16 to 30, 2024",15100000,Fuels,19/11/2024,16/09/2024,120394.45,Updated,16/09/2024,16/09/2024,30/09/2024,OCASLA GASOLINE FILLING STATION,Philippines,Region VIII,Samar,Sta. Rita,Micro,NULL
"CITY OF TAGUM, DAVAO DEL NORTE",Region XI,Davao Del Norte,Tagum City,Executive,City Government,Local Government Units (LGU),0,FUEL (PR100-24-10-02900),Goods,Direct Retail Purchase of POL and Airline Tickets (Sec. 53.14),Fuels/Fuel Additives & Lubricants & Anti Corrosive,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,127503.60,NULL,NULL,Davao Del Norte,31,NULL,1,FUEL,"FOR THE USE OF CMO - GENDER & DEVELOPMENT SECTION FOR THE MONTH OF JUNE, JULY & AUGUST 2024",3,Lot,127503.60,Awarded,5154504,FUEL (PR100-24-10-02900),15100000,Fuels,04/11/2024,01/10/2024,127503.60,Updated,01/10/2024,31/10/2024,31/10/2024,ASF SUPER GAS CORP.,Philippines,Region XI,Davao de Oro (Compos. Valley),Pantukan,Large,NULL
"CITY OF TAGUM, DAVAO DEL NORTE",Region XI,Davao Del Norte,Tagum City,Executive,City Government,Local Government Units (LGU),0,FUEL (PR100-24-09-02718),Goods,Direct Retail Purchase of POL and Airline Tickets (Sec. 53.14),Fuels/Fuel Additives & Lubricants & Anti Corrosive,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,164425.44,NULL,NULL,Davao Del Norte,31,NULL,1,FUEL,FOR THE USE OF CMO - FOR THE MONTH OF OCTOBER - DECEMBER 2024,3,Lot,164425.44,Awarded,5103734,FUEL (PR100-24-09-02718),15100000,Fuels,03/10/2024,01/10/2024,164425.44,Updated,01/10/2024,31/12/2024,31/12/2024,ASF SUPER GAS CORP.,Philippines,Region XI,Davao de Oro (Compos. Valley),Pantukan,Large,NULL
TERESA ELEMENTARY SCHOOL - TERESA RIZAL,Region IV-A,Rizal,Teresa,Executive,Elementary,National Government Agencies (NGA),0,0 Unit SUPPLY AND DELIVERY OF OTHER SUPPLIES FOR PRINTING,Goods,Shopping - Unforeseen Contingency (Sec. 52.1.a),Printing Supplies,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,51900.00,07/11/2024,NULL,Rizal,5,NULL,1,SUPPLY AND DELIVERY OF OTHER SUPPLIES FOR PRINTING,"MATATAG MATERIALS FOR KINDER, GRADES 1 & 4 (EXCESS FUND)",0,Unit,51900.00,Awarded,5162858,0 Unit SUPPLY AND DELIVERY OF OTHER SUPPLIES FOR PRINTING,44103100,Printer and facsimile and photocopier supplies,07/11/2024,29/10/2024,43399.00,Updated,29/10/2024,29/10/2024,11/11/2024,LAMN OFFICE AND SCHOOL SUPPLIES TRADING,Philippines,Region IV-A,Rizal,Morong,Micro,NULL
"CITY  OF LA CARLOTA, NEGROS OCCIDENTAL",Region VI,Negros Occidental,La Carlota City,Executive,City Government,Local Government Units (LGU),0,1 Lot Repair & Maintenance of Fire/Rescue Equipment,Goods,Shopping - Unforeseen Contingency (Sec. 52.1.a),Construction Materials and Supplies,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,390310.75,NULL,NULL,Negros Occidental,7,NULL,1,Repair & Maintenance of Fire/Rescue Equipment,"The procurement of various materials to RIOS Hardware & Construction Supply for the use of CDRRMO, La Carlota City",1,Lot,390310.75,Awarded,5182981,1 Lot Repair & Maintenance of Fire/Rescue Equipment,60106102,Construction teaching aids or materials,19/11/2024,21/10/2024,177815.00,Posted,NULL,NULL,NULL,RIOS HARDWARE AND CONSTRUCTION SUPPLY,Philippines,Negros Island Region,Negros Occidental,La Carlota City,Micro,NULL
"MUNICIPALITY OF TAYASAN, NEGROS ORIENTAL",Region VII,Negros Oriental,Tayasan,Executive,Municipal Government,Local Government Units (LGU),0,1 Lot Motor Vehicle Parts,Goods,Shopping - Unforeseen Contingency (Sec. 52.1.a),Vehicle Parts and Accessories,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,62400.00,NULL,NULL,Negros Oriental,7,NULL,1,Motor Vehicle Parts,Used for the Maintenance of Municipal Vehicle KIA w/ plate no. SKK-685,1,Lot,62400.00,Awarded,5211927,1 Lot Motor Vehicle Parts,78181500,Vehicle maintenance and repair services,03/12/2024,07/11/2024,62400.00,Posted,NULL,NULL,NULL,3G AUTO PARTS TRADING,Philippines,Negros Island Region,Negros Oriental,Dumaguete City,Micro,NULL
SAN ISIDRO ELEMENTARY SCHOOL - TAYTAY RIZAL,Region IV-A,Rizal,Taytay,Executive,Elementary,National Government Agencies (NGA),0,1 Lot RFQ-2024-09-001,Goods,Shopping - Unforeseen Contingency (Sec. 52.1.a),Office Equipment Supplies and Consumables,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,79561.00,17/12/2024,NULL,Rizal,10,NULL,1,RFQ-2024-09-001,SUPPLY AND DELIVERY TO SAN ISIDRO ELEMENTARY SCHOOL OF OFFICE SUPPLIES AND EQUIPMENT ,1,Lot,79561.00,Awarded,5249587,1 Lot RFQ-2024-09-001,44000000,Office Equipment and Accessories and Supplies,17/12/2024,26/11/2024,78881.00,Updated,27/11/2024,26/11/2024,10/12/2024,KARSEP GEN. MERCHANDISE,Philippines,Region IV-A,Rizal,Binangonan,Micro,NULL
"MUNICIPALITY OF KABACAN, COTABATO",Region XII,Cotabato,Kabacan,Executive,Municipal Government,Local Government Units (LGU),0,1 Lot Venue rental for childrens congress,Goods,Shopping - Unforeseen Contingency (Sec. 52.1.a),"Travel, Food, Lodging and Entertainment Services",Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,20000.00,NULL,NULL,Cotabato,2,NULL,1,Venue rental for childrens congress,Venue rental for childrens congress,1,Lot,20000.00,Awarded,5246486,1 Lot Venue rental for childrens congress,90111600,Meeting facilities,16/12/2024,05/12/2024,20000.00,Posted,NULL,NULL,NULL,WATERLAND RESORT,Philippines,Region XII,Cotabato,Kabacan,Medium,NULL
MUNICIPALITY OF BATARAZA,Region IV-B,Palawan,Bataraza,Executive,Municipal Government,Local Government Units (LGU),0,43 Book LEARNING MATERIALS,Goods,Shopping - Unforeseen Contingency (Sec. 52.1.a),"Books, Maps and Other Publications",Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,61640.00,11/12/2024,NULL,Palawan,14,NULL,1,LEARNING MATERIALS,1 2 PCS Language Programs and Policies in Multilingual Societes 2 2 PCS Manual of Steel Design and Construction 3 2 PCS Philippine Literature 4 2 PCS Essay in Literacy Criticism by Jose Garcia Villa 5 2 PCS Assessment in Learning 1 6 2 PCS English fo,43,Book,61640.00,Awarded,5235035,43 Book LEARNING MATERIALS,14000000,Paper Materials and Products,11/12/2024,04/12/2024,61640.00,Posted,NULL,NULL,NULL,BLOOM OFFICE SUPPLIES TRADING,Philippines,Region IV-B,Palawan,Bataraza,Micro,NULL
"MUNICIPALITY OF TAYASAN, NEGROS ORIENTAL",Region VII,Negros Oriental,Tayasan,Executive,Municipal Government,Local Government Units (LGU),0,1 Lot Ballpen and Brwon Envelope Long,Goods,Shopping - Unforeseen Contingency (Sec. 52.1.a),Office Supplies and Devices,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,1180.00,NULL,NULL,Negros Oriental,7,NULL,1,Ballpen and Brwon Envelope Long,"Materials to be used for the Workshop on Enhancing Nutrition Action Plan with the integration of the Nutrition in Emergency Plan and Budget in the Barangay level on November 11-12, 2024",1,Lot,1180.00,Awarded,5182801,1 Lot Ballpen and Brwon Envelope Long,44000000,Office Equipment and Accessories and Supplies,20/11/2024,08/11/2024,1034.00,Posted,NULL,NULL,NULL,AMIE AND JHULS AJ GENERAL MERCHANDISE,Philippines,Negros Island Region,Negros Oriental,Tayasan,Micro,NULL
"BIENVENIDO R. FOJAS MEMORIAL ELEMENTARY SCHOOL - TANZA,CAVIT",Region IV-A,Cavite,Tanza,Executive,Elementary,National Government Agencies (NGA),0,2325 Set TETS PAPER,Goods,Shopping - Unforeseen Contingency (Sec. 52.1.a),Printing Services,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,69750.00,24/10/2024,NULL,Cavite,7,NULL,1,TETS PAPER,REPRODUCTION OF TEST PAPER,2325,Set,69750.00,Awarded,5060854,2325 Set TETS PAPER,82121500,Printing,24/10/2024,01/10/2024,58125.00,Posted,NULL,NULL,NULL,RONDAEL GRAPHIC ARTS DESIGN AND SUPPLIES,Philippines,Region IV-A,Cavite,Dasmariñas City,Micro,NULL
"MUNICIPALITY OF SAN MIGUEL, ILOILO",Region VI,Iloilo,San Miguel,Executive,Municipal Government,Local Government Units (LGU),0,1 Lot PURCHASE OF SNACKS  INTENDED FOR THE VARIOUS ACTIV,Goods,Shopping - Unforeseen Contingency (Sec. 52.1.a),Catering Services,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,24500.00,26/12/2024,NULL,Iloilo,3,NULL,1,PURCHASE OF SNACKS  INTENDED FOR THE VARIOUS ACTIV,SNACKS,1,Lot,24500.00,Awarded,5268041,1 Lot PURCHASE OF SNACKS  INTENDED FOR THE VARIOUS ACTIV,90101603,Catering services,26/12/2024,03/12/2024,23270.00,Posted,NULL,NULL,NULL,REMELS CATERING SERVICES,Philippines,Region VI,Iloilo,San Miguel,Micro,NULL
"CITY  OF LA CARLOTA, NEGROS OCCIDENTAL",Region VI,Negros Occidental,La Carlota City,Executive,City Government,Local Government Units (LGU),0,1 Lot Medical Supplies,Goods,Shopping - Unforeseen Contingency (Sec. 52.1.a),Medical Supplies and Laboratory Instrument,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,95800.00,NULL,NULL,Negros Occidental,7,NULL,1,Medical Supplies,The procurement of medical supplies to JNC INTERNATIONAL TRADING for the use of CDRRMO,1,Lot,95800.00,Awarded,5223266,1 Lot Medical Supplies,42000000,Medical Equipment and Accessories and Supplies,06/12/2024,16/10/2024,92000.00,Posted,NULL,NULL,NULL,JNC INTERNATIONAL TRADING,Philippines,Region VIII,Eastern Samar,Borongan,Micro,NULL
